Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Rasio Jenis Kelamin Penduduk
Aceh,"5 281,3","1,96","1,99",91,"99,8"
Sumatera Utara,"14 415,4","1,27","5,44",198,"99,6"
Sumatera Barat,"5 382,1","1,27","2,03",128,"99,3"
Riau,"6 814,9","2,54","2,57",78,"105,3"
Jambi,"3 570,3","1,75","1,35",71,"104,1"
Sumatera Selatan,"8 370,3","1,41","3,16",91,"103,3"
Bengkulu,"1 963,3","1,65","0,74",99,"103,9"
Lampung,"8 370,5","1,16","3,16",242,"105,0"
Kepulauan Bangka Belitung,"1 459,9","2,16","0,55",89,"108,4"
Kepulauan Riau,"2 136,5","2,95","0,81",260,"104,0"
DKI Jakarta,"10 467,6","1,03","3,95",15 764,"100,4"
Jawa Barat,"48 683,7","1,50","18,37",1 376,"102,6"
Jawa Tengah,"34 490,8","0,77","13,01",1 052,"98,3"
DI Yogyakarta,"3 802,9","1,16","1,43",1 214,"97,9"
Jawa Timur,"39 500,9","0,63","14,91",826,"97,5"
Banten,"12 689,7","2,17","4,79",1 313,"103,9"
Bali,"4 292,2","1,18","1,62",743,"101,4"
Nusa Tenggara Barat,"5 013,7","1,32","1,89",270,"94,3"
Nusa Tenggara Timur,"5 371,5","1,67","2,03",110,"98,1"
Kalimantan Barat,"5 001,7","1,58","1,89",34,"103,6"
Kalimantan Tengah,"2 660,2","2,28","1,00",17,"109,6"
Kalimantan Selatan,"4 182,7","1,74","1,58",108,"103,0"
Kalimantan Timur,"3 648,8","2,28","1,38",28,"110,2"
Kalimantan Utara,"716,4","3,87","0,27",9,"113,0"
Sulawesi Utara,"2 484,4","1,09","0,94",179,"104,2"
Sulawesi Tengah,"3 010,4","1,63","1,14",49,"104,2"
Sulawesi Selatan,"8 772,0","1,06","3,31",188,"95,6"
Sulawesi Tenggara,"2 653,7","2,12","1,00",70,"101,2"
Gorontalo,"1 185,5","1,59","0,45",105,"100,4"
Sulawesi Barat,"1 355,6","1,92","0,51",81,"100,8"
Maluku,"1 773,8","1,77","0,67",38,"101,7"
Maluku Utara,"1 232,6","2,11","0,47",39,"104,1"
Papua Barat,"937,5","2,57","0,35",9,"111,1"
Papua,"3 322,5","1,90","1,25",10,"110,9"
Indonesia,"265 015,3","1,33","100,00",138,"101,0"
